# Simulation 3 (Up to date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 698 data points written for 54 variables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral a c celeration (m/s²),L atitude (°),L ongitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.08125,0.050015,1.8007,36.006,1.8007,36.006,-1.25E-07,0,1.25E-07,-180,6.41E-06,2.31E-04,28.61,-80.6,9.7922,2.04E-04,0,0,0,248.73,21.241,0.012262,3.24E-04,60.639,47.294,2.669,0.0052902,85214,11.477,0.0032044,0.8217,0.8217,0.388,0.3137,0.12,4.60E-05,-3.32E-04,-4.64E-04,0,0,0,0,0,2.31E-04,5,19.635,90,0,NaN,15,1013.2,340.39,0.05,0.004037
0.13125,0.18537,3.6162,37.609,3.6162,37.609,-8.32E-07,0,8.32E-07,-180,2.39E-05,4.68E-04,28.61,-80.6,9.7922,3.78E-04,0,0,0,248.46,20.97,0.012252,3.24E-04,60.639,47.273,2.6733,0.010624,171123,11.789,0.011942,0.75939,0.75939,0.32567,0.3137,0.12001,8.53E-05,1.57E-04,6.00E-05,0,0,0,0,0,4.63E-04,5,19.635,90,0,NaN,14.999,1013.2,340.39,0.05,0.00479
0.18125,0.41322,5.4979,37.899,5.4979,37.899,-2.72E-06,0,2.72E-06,-180,5.36E-05,7.22E-04,28.61,-80.6,9.7922,5.59E-04,0,0,0,248.13,20.638,0.012239,3.24E-04,60.639,47.247,2.6784,0.016152,260163,11.86,0.026497,0.72894,0.72894,0.29518,0.31372,0.12003,1.26E-04,4.72E-04,1.96E-05,0,0,0,0,0,7.04E-04,5,19.635,90,0,NaN,14.997,1013.2,340.39,0.05,0.0051404
0.23125,0.7355,7.3936,37.454,7.3936,37.454,-6.41E-06,0,6.41E-06,-180,9.64E-05,9.91E-04,28.61,-80.6,9.7922,7.47E-04,0,0,0,247.79,20.301,0.012227,3.24E-04,60.639,47.221,2.6837,0.021721,349860,11.754,0.04667,0.70994,0.70994,0.27613,0.31374,0.12006,1.68E-04,2.12E-04,2.35E-05,0,0,0,0,0,9.47E-04,5,19.635,90,0,NaN,14.995,1013.2,340.39,0.05,0.0054631
0.28125,1.152,9.2665,36.944,9.2665,36.944,-1.25E-05,0,1.25E-05,-180,1.47E-04,0.0011007,28.61,-80.6,9.7922,9.10E-04,0,0,0,247.45,19.963,0.012214,3.24E-04,60.639,47.194,2.689,0.027224,438472,11.637,0.071938,0.69669,0.69669,0.26282,0.31377,0.1201,2.05E-04,5.64E-05,4.20E-04,0,0,0,0,0,0.0011864,5,19.635,90,0,NaN,14.993,1013.1,340.38,0.05,0.0058396
0.33125,1.6615,11.113,36.012,11.113,36.012,-2.13E-05,0,2.13E-05,-180,2.07E-04,0.0012784,28.61,-80.6,9.7922,0.0010662,0,0,0,247.12,19.629,0.012201,3.24E-04,60.64,47.168,2.6943,0.03265,525844,11.421,0.10199,0.68674,0.68674,0.25279,0.31381,0.12014,2.40E-04,9.39E-04,-3.78E-04,0,0,0,0,0,0.0014229,5,19.635,90,0,NaN,14.989,1013.1,340.38,0.05,0.0061457
0.38125,2.2622,12.913,34.922,12.913,34.922,-3.33E-05,0,3.33E-05,-180,2.75E-04,0.0015036,28.61,-80.6,9.7922,0.0011442,0,0,0,246.79,19.304,0.012189,3.24E-04,60.64,47.143,2.6994,0.037937,610972,11.171,0.13613,0.67897,0.67897,0.24493,0.31385,0.12019,2.58E-04,8.20E-04,-2.29E-05,0,0,0,0,0,0.0016533,5,19.635,90,-170.61,NaN,14.985,1013,340.38,0.05,0.0064548
0.43125,2.9515,14.658,33.813,14.658,33.813,-4.90E-05,-2.60E-08,4.90E-05,-179.97,3.57E-04,0.0017848,28.61,-80.6,9.7922,0.0011577,0,0,0,246.48,18.986,0.012177,3.24E-04,60.64,47.118,2.7045,0.043064,693487,10.921,0.17378,0.67272,0.67272,0.23858,0.3139,0.12024,2.61E-04,0.0010533,-2.16E-04,0,0,0,0,0,0.0018767,5,19.635,90,-172.31,NaN,14.981,1012.9,340.38,0.05,0.0067935
0.48125,3.7266,16.347,32.687,16.347,32.687,-6.93E-05,-1.20E-07,6.93E-05,-179.9,4.56E-04,0.0021667,28.61,-80.6,9.7922,0.0010734,0,0,0,246.16,18.667,0.012165,3.24E-04,60.641,47.093,2.7096,0.048026,773349,10.671,0.21445,0.66755,0.66755,0.2333,0.31395,0.1203,2.42E-04,9.35E-04,3.06E-04,0,0,0,0,0,0.002093,5,19.635,89.999,-174.91,NaN,14.976,1012.8,340.37,0.05,0.0071159
0.53125,4.5848,17.979,31.425,17.979,31.425,-9.50E-05,-3.32E-07,9.50E-05,-179.8,5.76E-04,0.0026797,28.61,-80.6,9.7922,8.82E-04,0,0,0,245.84,18.352,0.012153,3.24E-04,60.641,47.068,2.7147,0.052822,850514,10.391,0.25777,0.66336,0.66336,0.22884,0.31416,0.12036,1.99E-04,9.22E-04,-1.33E-04,0,0,0,0,0,0.0023019,5,19.635,89.999,-174.01,NaN,14.97,1012.7,340.37,0.05,0.0074205
0.58125,5.523,19.548,30.087,19.548,30.087,-1.27E-04,-7.74E-07,1.27E-04,-179.65,7.27E-04,0.003323,28.61,-80.6,9.7922,6.10E-04,0,0,0,245.54,18.053,0.012141,3.24E-04,60.642,47.044,2.7195,0.057432,924661,10.095,0.30311,0.65992,0.65992,0.22502,0.31447,0.12043,1.38E-04,8.01E-04,3.96E-04,0,0,0,0,0,0.0025028,5,19.635,89.998,-173.97,NaN,14.964,1012.6,340.37,0.05,0.0077391
0.63125,6.538,21.049,28.738,21.049,28.738,-1.68E-04,-1.64E-06,1.68E-04,-179.44,9.13E-04,0.0040884,28.61,-80.6,9.7922,3.01E-04,0,0,0,245.26,17.768,0.012131,3.24E-04,60.643,47.022,2.7242,0.061844,995612,9.7996,0.34987,0.65699,0.65699,0.22172,0.31477,0.1205,6.80E-05,5.33E-04,-1.83E-06,0,0,0,0,0,0.0026951,5,19.635,89.998,-173.88,NaN,14.958,1012.5,340.36,0.05,0.0080588
